canonical_match_id,sb_match_id,competition_label,season,kickoff_date,lake_sha256,lake_local_path,bridge_id,bridge_confidence,reconciliation_status,home_team_id,away_team_id,target_wdl,reg_home_goals,reg_away_goals,n_events,n_shots,n_shots_with_xg,xg_coverage,xg_fraction_shots,xg_present_snapshot_fraction,max_regulation_minute,has_extra_time,snapshot_count,target_eligible_wdl,target_eligible_xg,target_eligible_event_process,target_eligible_residual,target_eligible_near_term,target_eligible_discipline,target_eligible_power,exclusion_reason,primary_fold,loco_fold,is_2026_wc_excluded
fifa_world_cup_2018__sb7525,7525,FIFA World Cup 2018,2018,2018-06-14,bc04e7442328cc43d52e3e2e549d926b366f40ec0a443fa99e4d58210e8484e5,objects/bc/bc04e7442328cc43d52e3e2e549d926b366f40ec0a443fa99e4d58210e8484e5.json,425bbddb81ab0ac2,exact,mismatch_regulation_goals,796,799,H,3,0,3318,20,20,available_verified,1.0,0.9151,94.8,False,106,True,True,True,True,True,True,True,,0,FIFA World Cup 2018,False
fifa_world_cup_2018__sb7529,7529,FIFA World Cup 2018,2018,2018-06-16,20e43592bb389db6689447595d5f0dd82abf7c11189e70b68c3a3587d74bc214,objects/20/20e43592bb389db6689447595d5f0dd82abf7c11189e70b68c3a3587d74bc214.json,fdf321435822c18c,exact,exact,785,775,H,2,0,3320,24,24,available_verified,1.0,0.8978,94.15,False,137,True,True,True,True,True,True,True,,0,FIFA World Cup 2018,False
fifa_world_cup_2018__sb7530,7530,FIFA World Cup 2018,2018,2018-06-16,0e4a1f824d3539b210ba58de4bc4d6cb9f34466b4a7059df0d2b5bfe0a7a3370,objects/0e/0e4a1f824d3539b210ba58de4bc4d6cb9f34466b4a7059df0d2b5bfe0a7a3370.json,f2e922ec67e64d0e,exact,exact,771,792,H,2,1,3472,17,17,available_verified,1.0,0.9574,95.483,False,94,True,True,True,True,True,True,True,,0,FIFA World Cup 2018,False
fifa_world_cup_2018__sb7531,7531,FIFA World Cup 2018,2018,2018-06-16,4fb8cc5585b17b8cdadad272697eb66029554b230fcc743aec9276a23093857a,objects/4f/4fb8cc5585b17b8cdadad272697eb66029554b230fcc743aec9276a23093857a.json,7634c38e509a7aa4,exact,exact,779,793,D,1,1,3599,37,37,available_verified,1.0,0.9942,95.017,False,173,True,True,True,True,True,True,True,,0,FIFA World Cup 2018,False
fifa_world_cup_2018__sb7532,7532,FIFA World Cup 2018,2018,2018-06-16,963b9082b9e84915f4414e201db60293ea321dff575c5d3a6cf91f7487fca9bb,objects/96/963b9082b9e84915f4414e201db60293ea321dff575c5d3a6cf91f7487fca9bb.json,b51a6bdbbf6454a2,exact,exact,784,776,A,0,1,3097,28,28,available_verified,1.0,0.9603,95.117,False,151,True,True,True,True,True,True,True,,0,FIFA World Cup 2018,False
fifa_world_cup_2018__sb7533,7533,FIFA World Cup 2018,2018,2018-06-17,c3f4468ddeb33d0d6322a55eb0dbbf570782afb8cc044eab12c03fc004ee2832,objects/c3/c3f4468ddeb33d0d6322a55eb0dbbf570782afb8cc044eab12c03fc004ee2832.json,a34feb385ff3abe9,exact,exact,781,773,D,1,1,4010,28,28,available_verified,1.0,0.9776,96.45,False,134,True,True,True,True,True,True,True,,0,FIFA World Cup 2018,False
fifa_world_cup_2018__sb7534,7534,FIFA World Cup 2018,2018,2018-06-17,1b6b98fd6627e42174cc09416a131ef5d2f04951e43c9dcb6125b8c24b2b9eb2,objects/1b/1b6b98fd6627e42174cc09416a131ef5d2f04951e43c9dcb6125b8c24b2b9eb2.json,add53dc4ba98ae88,exact,exact,770,794,A,0,1,3704,38,38,available_verified,1.0,0.9831,93.167,False,177,True,True,True,True,True,True,True,,0,FIFA World Cup 2018,False
fifa_world_cup_2018__sb7535,7535,FIFA World Cup 2018,2018,2018-06-17,87e35700fdbb24b63577fa2ca6090ea672b49be0531bfe030c67d77c420371b7,objects/87/87e35700fdbb24b63577fa2ca6090ea672b49be0531bfe030c67d77c420371b7.json,39a73bed08f0bd77,exact,exact,795,786,A,0,1,3183,22,22,available_verified,1.0,0.9708,97.617,False,137,True,True,True,True,True,True,True,,0,FIFA World Cup 2018,False
fifa_world_cup_2018__sb7536,7536,FIFA World Cup 2018,2018,2018-06-18,656ad5f1b82b6b879d070eae5e65f7a0835a8c90959f1c05b51d9ebc8a669558,objects/65/656ad5f1b82b6b879d070eae5e65f7a0835a8c90959f1c05b51d9ebc8a669558.json,f617a74e2105acc4,exact,exact,782,798,H,3,0,3662,22,22,available_verified,1.0,0.9609,94.15,False,128,True,True,True,True,True,True,True,,0,FIFA World Cup 2018,False
fifa_world_cup_2018__sb7537,7537,FIFA World Cup 2018,2018,2018-06-18,5e5b1f702eb190bd3120ebc26c8ce98c554bb755cd593ff04443fc46eb33acbf,objects/5e/5e5b1f702eb190bd3120ebc26c8ce98c554bb755cd593ff04443fc46eb33acbf.json,db35331e117461e5,exact,wdl_target_conflict,777,768,D,1,1,3548,24,24,available_verified,1.0,0.9558,94.733,False,113,False,False,False,False,False,False,False,wdl_target_conflict:wdl_target_conflict,0,FIFA World Cup 2018,False
fifa_world_cup_2018__sb7538,7538,FIFA World Cup 2018,2018,2018-06-18,ac684143ef2c246c1745a078d03e0c7ab31b96a7ea3863e42ea539b7c6d3383e,objects/ac/ac684143ef2c246c1745a078d03e0c7ab31b96a7ea3863e42ea539b7c6d3383e.json,b2d4706294562d1d,exact,exact,790,791,H,1,0,3117,21,21,available_verified,1.0,0.8968,94.2,False,126,True,True,True,True,True,True,True,,0,FIFA World Cup 2018,False
fifa_world_cup_2018__sb7539,7539,FIFA World Cup 2018,2018,2018-06-19,ee7b02c0f464cbe4b525c974aadb086f3d3ceebbb96093e958c62613938b8d53,objects/ee/ee7b02c0f464cbe4b525c974aadb086f3d3ceebbb96093e958c62613938b8d53.json,83021863c2dd398e,exact,exact,789,787,A,1,2,3457,17,17,available_verified,1.0,0.8559,94.267,False,111,True,True,True,True,True,True,True,,0,FIFA World Cup 2018,False
fifa_world_cup_2018__sb7540,7540,FIFA World Cup 2018,2018,2018-06-19,f2bbcf6157a2f537c09f0423aa40940ec0ffcfa9f036c4b22ebd1eced8f0a1ab,objects/f2/f2bbcf6157a2f537c09f0423aa40940ec0ffcfa9f036c4b22ebd1eced8f0a1ab.json,6e07b9c74f56f29b,exact,exact,796,774,H,3,1,3348,27,27,available_verified,1.0,0.9797,94.1,False,148,True,True,True,True,True,True,True,,0,FIFA World Cup 2018,False
